Title,Company,Location,Modality,Job_Description,When_Posted,Pay,City,State,Rating
Software Developer - AI Trainer (Contract),DataAnnotation,,,DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own…,Active 12 days ag,83200.0,,CA,4.5
REMS Educator,Inizio Engage,,,"Inizio Engage has a long-standing partnership with a leading Biotechnology company across Commercial, Patient Solutions and Medical Affairs businesses. To…",Posted 5 days ag,,,CA,3.5
Data Engineer,LegalMation,"Hybrid remote in Los Angeles, CA 90071",Hybrid,About us LegalMation is a venture-backed AI SaaS company focused on selling automation and analytics solutions to large enterprises and law firms. We have…,Active 4 days ag,80000.0,   Los Angeles,CA,
Associate Data Analyst - Hybrid Remote,CEDARS-SINAI,"Hybrid remote in Los Angeles, CA",Hybrid,Job Description Grow your career at Cedars-Sinai! The Enterprise Information Services (EIS) team at Cedars-Sinai understands that true clinical…,Posted 4 days ago·,,   Los Angeles,CA,
Data Analyst,UCLA,"Los Angeles, CA",,About the California Policy Lab The California Policy Lab translates research insights into government impact. Through hands-on partnerships with government…,Posted 30+ days ago·,14583.0,Los Angeles,CA,
Senior Clinical Data Analyst,Providence,"Burbank, CA 91505",,Description The Radiation Oncology Systems Program Manager provides continuous technical and application support/analysis for various Radiation Oncology…,Posted 5 days ago·,143166.4,Burbank,CA,
Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",,Start Date: Immediately End Date: September 2024 Employment Type: This is a part-time position. A flexible schedule including occasional weekend hours is…,Posted 19 days ago·,68640.0,Los Angeles,CA,
Data Scientist,"Pasadena, CA","Pasadena, CA",,Expatiate Communications is a boutique management consulting firm with unmatched expertise in special education. We deliver innovative solutions for the most…,Posted 30+ days ago·,100000.0,Pasadena,CA,
Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA",,"Job Description The Research Data Scientist participates in biomedical research projects using programming, data-mining, statistics, machine learning, and…",Posted 19 days ago·,,Los Angeles,CA,
DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA",,Duties NH-02 DUTY 1: Performs developmental assignments in support of projects assigned to higher level analysts. Performs minor phases of a larger…,Posted 30+ days ago·,,Los Angeles,CA,
"Application Software Engineer, Data",SpaceX,"Hawthorne, CA",,SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today…,Posted 26 days ago·,,Hawthorne,CA,
