,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
0,Software Developer - AI Trainer (Contract),DataAnnotation,4.5,"You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.",Active 8 days ag,40.0,,,False
1,Data Engineer,LegalMation,"Hybrid remote in Los Angeles, CA 90071","Experience with cloud technologies, NLP, and modern data science libraries.",Active 4 days ag,80000.0,Hybrid remote in Los Angeles,CA,True
2,AI Training for Physics,Outlier,3.7,"Help train AI models to become more accurate, relevant, and safe in Physics!",Today,50.0,,,False
3,Associate Data Analyst - Hybrid Remote,CEDARS-SINAI,"Hybrid remote in Los Angeles, CA",Uses data quality tools to proactively identify data integrity issues.,Today·,45.09,Hybrid remote in Los Angeles,CA,True
4,"Data Scientist, 1+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",1+ years of experience in quantitative analysis & data science or a related field.,Posted 4 days ago·,,Los Angeles,CA,False
5,Data Scientist,Activision,"Santa Monica, CA","Synthesizing disparate data, identifying and working around broken data, and investigating every possibility until you have a thorough solution.",Posted 2 days ago·,,Santa Monica,CA,False
6,Data Scientist,"Pasadena, CA","Pasadena, CA",Identify data patterns and trends.,Posted 28 days ago·,100000.0,Pasadena,CA,False
7,Data Analyst,UCLA,"Los Angeles, CA",Understanding of relational databases and mastery of data analysis and data.,Posted 30+ days ago·,14583.0,Los Angeles,CA,False
8,Pharmaceutical Sales Representative,Inizio Engage,3.5,"Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Active 2 days ag,130000.0,,,False
9,Jr. ML Engineer,BallerTV,"Pasadena, CA",This is a junior-level role focusing on machine-learning projects related to sports and video processing.,Posted 30+ days ago·,,Pasadena,CA,False
10,Predictive Data Analyst - CalAIM,Heluna Health,"Los Angeles, CA 90014",Collaborates with data administrators and other IT staff to develop data pipelines and ensure the availability of quality data.,Posted 30+ days ago·,,Los Angeles,CA,False
11,Support Engineer,eRESI Mortgage,"Hybrid remote in Pasadena, CA","A successful candidate will thrive in a small team where their contributions will make an immediate impact, and interface directly with business users.",Posted 1 day ago·,90000.0,Hybrid remote in Pasadena,CA,True
12,"Associate, Finance Strategy & Analysis, Content",Netflix,"Los Angeles, CA",Experience conducting quantitative analysis (including modeling) and qualitative analysis and can drive to insight and results using data.,Posted 30+ days ago·,,Los Angeles,CA,False
13,Associate Software Engineer,BOEING,"El Segundo, CA 90245","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Today·,123050.0,El Segundo,CA,False
